,X,Y,Depth,Thickness_of_Res,AI_over_Res,Curvature_on_Top_Res,Top_Res_depth,Res_Prob
1,740838,7234410,-0.994578,-195.2843,-10951.02,-0.00024548,-5321.508,0.994578
2,740753,7238110,-0.989235,-215.9725,-10961.2,-0.00029166,-5314.941,0.989235
3,741363,7231260,-0.997361,-300.0263,-10715.46,-0.00119208,-5328.961,0.997361
4,751175,7238490,-0.986831,-168.5188,-10844.91,-0.0005061,-5334.395,0.986831
5,737119,7229380,-0.947,-175.4859,-10792.41,-0.00114698,-5383.519,0.947
6,758596,7235320,-0.998617,-108.5118,-10919.01,-0.00112796,-5044.664,0.998617
7,754164,7240810,-0.965427,-301.4421,-10683.15,-0.0014462,-5058.121,0.965427
8,738473,7222160,-0.804416,-242.9031,-10779.05,-0.00076168,-5542.795,0.804416
9,760275,7232980,-0.99,-204.6472,-10875.13,-0.0007567,-5218.006,0.99
10,748573,7232580,-0.998106,-161.9834,-10876.49,-0.00066102,-5360.968,0.998106
11,730794,7234640,-0.1665,-181.9578,-10151.25,-0.00054344,-5421.526,0.1665
12,734870,7234030,-0.974985,-260.7648,-10745.55,-0.001463,-5245.294,0.974985
13,753161,7237790,-0.978,-298.9181,-10961.97,-0.00110702,-5102.264,0.978
14,730736,7243090,0,-193.7095,-10760.66,-0.0006638,-5665.056,0
15,755960,7244900,0,-161.3398,-10335.82,-0.000224,-5934.461,0
16,733014,7228170,0,-181.9544,-10757.79,-0.00019768,-5613.38,0
17,741295,7222730,0,-294.1152,-10707.5,-0.0000949,-5828.93,0
18,732919,7234480,-0.1,-214.5885,-10554.87,-0.0001984,-5500.569,0.1
19,736371,7225487,-0.358,-276.242,-10910.46,-0.00034588,-5474.683,0.358
